ts,final_label,rf_label,rf_conf,if_score,route,unsup_verdict,thr_in,thr_out,conf_gate,is_partial,src_ip,src_port,dst_ip,dst_port,latency_ms
1757675947.497880,Benign,Benign,1.000000,0.379237,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,57224,169.254.169.254,53,
1757675947.529143,Benign,Benign,1.000000,0.399307,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,49238,169.254.169.254,53,
1757675947.562174,Benign,Benign,1.000000,0.378161,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,35544,169.254.169.254,53,
1757675947.594771,Benign,Benign,1.000000,0.365498,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,37415,169.254.169.254,53,
1757675947.625782,Benign,Benign,1.000000,0.365498,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,51243,169.254.169.254,53,
1757675947.658639,Benign,Benign,1.000000,0.394898,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,39975,169.254.169.254,53,
1757675947.690615,Benign,Benign,1.000000,0.396322,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,48509,169.254.169.254,53,
1757675947.722897,Benign,Benign,1.000000,0.396003,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,38371,169.254.169.254,53,
1757675947.754694,Benign,Benign,1.000000,0.395264,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,49896,169.254.169.254,53,
1757675948.870930,Benign,Benign,1.000000,0.383208,rf_confident,inlier,0.379100,0.379100,0.750,1,35.235.245.128,36155,10.128.0.5,22,
1757675948.905493,Benign,Benign,1.000000,0.168776,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,43048,74.125.132.95,443,
1757675948.939522,Benign,Benign,0.930000,0.369159,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,35408,35.193.225.125,80,
1757675948.973905,Benign,Benign,0.990000,0.269911,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,34982,142.250.152.100,443,
1757675949.011441,Benign,Benign,1.000000,0.212251,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,41760,91.189.91.83,80,
1757675949.039004,Benign,Benign,1.000000,0.400281,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,48271,169.254.169.254,53,
1757675949.073935,Benign,Benign,1.000000,0.399224,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,39359,169.254.169.254,53,
1757675949.109279,Benign,Benign,1.000000,0.399224,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,53478,169.254.169.254,53,
1757675949.140916,Benign,Benign,1.000000,0.086945,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,43058,74.125.132.95,443,
1757675952.903477,Benign,Benign,1.000000,0.399910,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,37804,169.254.169.254,53,
1757675952.937008,Benign,Benign,1.000000,0.395845,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34811,169.254.169.254,53,
1757675952.968391,Benign,Benign,1.000000,0.186776,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,43074,74.125.132.95,443,
1757675953.001658,Benign,Benign,1.000000,0.395845,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,39466,169.254.169.254,53,
1757675953.028298,Benign,Benign,1.000000,0.394959,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,33024,169.254.169.254,53,
1757675953.062979,Benign,Benign,0.980000,0.145094,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,43084,74.125.132.95,443,
1757675954.924168,Benign,Benign,1.000000,0.031955,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,51714,142.250.152.95,443,
1757675954.959066,Benign,Benign,1.000000,0.399959,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,46537,169.254.169.254,53,
1757675954.990898,Benign,Benign,1.000000,0.395845,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,60119,169.254.169.254,53,
1757675955.023761,Benign,Benign,1.000000,0.187157,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,35344,74.125.132.95,443,
1757675964.935185,Benign,Benign,0.990000,0.224126,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
