ingest_ts,decision_ts,latency_ms,route,is_partial,final_label
1757702729262,1757702729312,50,rf_confident,0,Benign
1757702729767,1757702729813,46,rf_confident,0,Benign
1757702730273,1757702730314,41,rf_confident,0,Benign
1757702730778,1757702730815,37,rf_confident,0,Benign
1757702731283,1757702731315,32,rf_confident,0,Benign
1757702731788,1757702731816,28,rf_confident,0,Benign
1757702732293,1757702732317,24,rf_confident,0,Benign
1757702740495,1757702740578,83,rf_confident,0,Benign
1757702741001,1757702741079,78,rf_confident,0,Benign
1757702741506,1757702741579,73,rf_confident,0,Benign
1757702742012,1757702742080,68,rf_confident,0,Benign
1757702742517,1757702742584,67,rf_confident,0,Benign
1757702743022,1757702743084,62,rf_confident,0,Benign
1757702743527,1757702743585,58,rf_confident,0,Benign
1757702744032,1757702744086,54,rf_confident,0,Benign
1757702744538,1757702744587,49,rf_confident,0,Benign
1757702745043,1757702745088,45,rf_confident,0,Benign
1757702783784,1757702783887,103,rf_confident,0,Benign
1757702784289,1757702784388,99,rf_confident,0,Benign
1757702784795,1757702784888,93,rf_confident,0,Benign
1757702785299,1757702785391,92,rf_confident,0,Benign
1757702785804,1757702785892,88,rf_confident,0,Benign
1757702786309,1757702786393,84,rf_confident,0,Benign
1757702786814,1757702786894,80,rf_confident,0,Benign
1757702787319,1757702787395,76,rf_confident,0,Benign
1757702787824,1757702787896,72,rf_confident,0,Benign
1757702788329,1757702788396,67,rf_confident,0,Benign
1757702796006,1757702796156,150,rf_confident,0,Benign
1757702796510,1757702796657,147,rf_confident,0,Benign
1757702797015,1757702797158,143,rf_confident,0,Benign
1757702797521,1757702797659,138,rf_confident,0,Benign
1757702798029,1757702798160,131,rf_confident,0,Benign
1757702798534,1757702798661,127,rf_confident,0,Benign
1757702799038,1757702799162,124,rf_confident,0,Benign
1757702799543,1757702799662,119,rf_confident,0,Benign
1757702800048,1757702800163,115,rf_confident,0,Benign
1757702800553,1757702800664,111,rf_confident,0,Benign
1757702815141,1757702815185,44,rf_confident,0,Benign
1757702815647,1757702815686,39,rf_confident,0,Benign
1757702816158,1757702816187,29,rf_confident,0,Benign
1757702816663,1757702816687,24,rf_confident,0,Benign
1757702817169,1757702817188,19,rf_confident,0,Benign
1757702817674,1757702817689,15,rf_confident,0,Benign
1757702818180,1757702818190,10,rf_confident,0,Benign
1757702818685,1757702818690,5,rf_confident,0,Benign
1757702819196,1757702819443,247,rf_confident,0,Benign
1757702819705,1757702819943,238,rf_confident,0,Benign
1757702825089,1757702825202,113,rf_confident,0,Benign
1757702825593,1757702825703,110,rf_confident,0,Benign
1757702826099,1757702826204,105,rf_confident,0,Benign
1757702826604,1757702826704,100,rf_confident,0,Benign
1757702827109,1757702827205,96,rf_confident,0,Benign
1757702827614,1757702827706,92,rf_confident,0,Benign
1757702828119,1757702828207,88,rf_confident,0,Benign
1757702828624,1757702828707,83,rf_confident,0,Benign
1757702829130,1757702829208,78,rf_confident,0,Benign
1757702829634,1757702829709,75,rf_confident,0,Benign
1757702836165,1757702836219,54,rf_confident,0,Benign
1757702836671,1757702836720,49,rf_confident,0,Benign
1757702837176,1757702837220,44,rf_confident,0,Benign
1757702837686,1757702837721,35,rf_confident,0,Benign
1757702838193,1757702838222,29,rf_confident,0,Benign
1757702838698,1757702838723,25,rf_confident,0,Benign
1757702839204,1757702839224,20,rf_confident,0,Benign
1757702839709,1757702839724,15,rf_confident,0,Benign
1757702840214,1757702840225,11,rf_confident,0,Benign
1757702840728,1757702840976,248,rf_confident,0,Benign
1757702863165,1757702863257,92,rf_confident,0,Benign
1757702863671,1757702863758,87,rf_confident,0,Benign
1757702864178,1757702864259,81,rf_confident,0,Benign
1757702864683,1757702864760,77,rf_confident,0,Benign
1757702865189,1757702865262,73,rf_confident,0,Benign
1757702865696,1757702865763,67,rf_confident,0,Benign
1757702866201,1757702866264,63,rf_confident,0,Benign
1757702866707,1757702866765,58,rf_confident,0,Benign
1757702867212,1757702867266,54,rf_confident,0,Benign
1757702867718,1757702867767,49,rf_confident,0,Benign
1757702894417,1757702894550,133,rf_confident,0,Benign
1757702894922,1757702895050,128,rf_confident,0,Benign
1757702895427,1757702895551,124,rf_confident,0,Benign
1757702895938,1757702896052,114,rf_confident,0,Benign
1757702896446,1757702896553,107,rf_confident,0,Benign
1757702896951,1757702897053,102,rf_confident,0,Benign
1757702897456,1757702897554,98,rf_confident,0,Benign
1757702897961,1757702898055,94,rf_confident,0,Benign
1757702898467,1757702898556,89,rf_confident,0,Benign
1757702898971,1757702899058,87,rf_confident,0,Benign
1757702949073,1757702949135,62,rf_confident,0,Benign
1757702949578,1757702949635,57,rf_confident,0,Benign
1757702950083,1757702950136,53,rf_confident,0,Benign
1757702950588,1757702950637,49,rf_confident,0,Benign
1757702951092,1757702951137,45,rf_confident,0,Benign
1757702951599,1757702951638,39,rf_confident,0,Benign
1757702952104,1757702952139,35,rf_confident,0,Benign
1757702952609,1757702952639,30,rf_confident,0,Benign
1757702953114,1757702953140,26,rf_confident,0,Benign
1757702953620,1757702953641,21,rf_confident,0,Benign
1757702956029,1757702956144,115,rf_confident,0,Benign
1757702956534,1757702956645,111,rf_confident,0,Benign
1757702957038,1757702957146,108,rf_confident,0,Benign
1757702957543,1757702957650,107,rf_confident,0,Benign
1757702958048,1757702958150,102,rf_confident,0,Benign
1757702958553,1757702958653,100,rf_confident,0,Benign
1757702959059,1757702959153,94,rf_confident,0,Benign
1757702959564,1757702959654,90,rf_confident,0,Benign
1757702960069,1757702960155,86,rf_confident,0,Benign
1757702960574,1757702960656,82,rf_confident,0,Benign
1757702966802,1757702966918,116,rf_confident,0,Benign
1757702967308,1757702967418,110,rf_confident,0,Benign
1757702967813,1757702967919,106,rf_confident,0,Benign
1757702968318,1757702968420,102,rf_confident,0,Benign
1757702968823,1757702968921,98,rf_confident,0,Benign
1757702969329,1757702969422,93,rf_confident,0,Benign
1757702969833,1757702969922,89,rf_confident,0,Benign
1757702970338,1757702970423,85,rf_confident,0,Benign
1757702970843,1757702970924,81,rf_confident,0,Benign
1757702971349,1757702971425,76,rf_confident,0,Benign
1757702983828,1757702983943,115,rf_confident,0,Benign
1757702984333,1757702984444,111,rf_confident,0,Benign
1757702984839,1757702984944,105,rf_confident,0,Benign
1757702985344,1757702985445,101,rf_confident,0,Benign
1757702985850,1757702985946,96,rf_confident,0,Benign
1757702986355,1757702986447,92,rf_confident,0,Benign
1757702986861,1757702986947,86,rf_confident,0,Benign
1757702987366,1757702987448,82,rf_confident,0,Benign
1757702987872,1757702987949,77,rf_confident,0,Benign
1757702988377,1757702988453,76,rf_confident,0,Benign
1757702990189,1757702990205,16,rf_confident,0,Benign
1757702990694,1757702990706,12,rf_confident,0,Benign
1757702991202,1757702991207,5,rf_confident,0,Benign
1757702991713,1757702991959,246,rf_confident,0,Benign
1757702992218,1757702992459,241,rf_confident,0,Benign
1757702992724,1757702992960,236,rf_confident,0,Benign
1757702993229,1757702993461,232,rf_confident,0,Benign
1757702993734,1757702993962,228,rf_confident,0,Benign
1757702994244,1757702994462,218,rf_confident,0,Benign
1757702994754,1757702994963,209,rf_confident,0,Benign
1757703004892,1757703004982,90,rf_confident,0,Benign
1757703005397,1757703005483,86,rf_confident,0,Benign
1757703005902,1757703005984,82,rf_confident,0,Benign
1757703006408,1757703006484,76,rf_confident,0,Benign
1757703006914,1757703006985,71,rf_confident,0,Benign
1757703007419,1757703007486,67,rf_confident,0,Benign
1757703007924,1757703007987,63,rf_confident,0,Benign
1757703008429,1757703008488,59,rf_confident,0,Benign
1757703008934,1757703008989,55,rf_confident,0,Benign
1757703009439,1757703009489,50,rf_confident,0,Benign
1757703048353,1757703048545,192,rf_confident,0,Benign
1757703048858,1757703049045,187,rf_confident,0,Benign
1757703049364,1757703049548,184,rf_confident,0,Benign
1757703049869,1757703050049,180,rf_confident,0,Benign
1757703050374,1757703050550,176,rf_confident,0,Benign
1757703050879,1757703051051,172,rf_confident,0,Benign
1757703051384,1757703051552,168,rf_confident,0,Benign
1757703051890,1757703052052,162,rf_confident,0,Benign
1757703052396,1757703052553,157,rf_confident,0,Benign
1757703052901,1757703053054,153,rf_confident,0,Benign
1757703070806,1757703070831,25,rf_confident,0,Benign
1757703071311,1757703071334,23,rf_confident,0,Benign
1757703071816,1757703071834,18,rf_confident,0,Benign
1757703072321,1757703072335,14,rf_confident,0,Benign
1757703072826,1757703072836,10,rf_confident,0,Benign
1757703073332,1757703073337,5,rf_confident,0,Benign
1757703073837,1757703073837,0,rf_confident,0,Benign
1757703074342,1757703074588,246,rf_confident,0,Benign
1757703074846,1757703075089,243,rf_confident,0,Benign
1757703075352,1757703075590,238,rf_confident,0,Benign
1757703083743,1757703083849,106,rf_confident,0,Benign
1757703084249,1757703084350,101,rf_confident,0,Benign
1757703084754,1757703084851,97,rf_confident,0,Benign
1757703085259,1757703085352,93,rf_confident,0,Benign
1757703085764,1757703085852,88,rf_confident,0,Benign
1757703086270,1757703086353,83,rf_confident,0,Benign
1757703086777,1757703086854,77,rf_confident,0,Benign
1757703087283,1757703087355,72,rf_confident,0,Benign
1757703087788,1757703087856,68,rf_confident,0,Benign
1757703088293,1757703088357,64,rf_confident,0,Benign
1757703093072,1757703093112,40,rf_confident,0,Benign
1757703093577,1757703093613,36,rf_confident,0,Benign
1757703094083,1757703094114,31,rf_confident,0,Benign
1757703094588,1757703094615,27,rf_confident,0,Benign
1757703095093,1757703095116,23,rf_confident,0,Benign
1757703095599,1757703095618,19,rf_confident,0,Benign
1757703096103,1757703096119,16,rf_confident,0,Benign
1757703096609,1757703096620,11,rf_confident,0,Benign
1757703097114,1757703097121,7,rf_confident,0,Benign
1757703097619,1757703097621,2,rf_confident,0,Benign
1757703100352,1757703100375,23,rf_confident,0,Benign
1757703100857,1757703100875,18,rf_confident,0,Benign
1757703101362,1757703101376,14,rf_confident,0,Benign
1757703101866,1757703101877,11,rf_confident,0,Benign
1757703102371,1757703102377,6,rf_confident,0,Benign
1757703102876,1757703102878,2,rf_confident,0,Benign
1757703103381,1757703103629,248,rf_confident,0,Benign
1757703103886,1757703104130,244,rf_confident,0,Benign
1757703104391,1757703104631,240,rf_confident,0,Benign
1757703104900,1757703105135,235,rf_confident,0,Benign
1757703109250,1757703109390,140,rf_confident,0,Benign
1757703109755,1757703109891,136,rf_confident,0,Benign
1757703110260,1757703110391,131,rf_confident,0,Benign
1757703110765,1757703110892,127,rf_confident,0,Benign
1757703111272,1757703111393,121,rf_confident,0,Benign
1757703111777,1757703111894,117,rf_confident,0,Benign
1757703112282,1757703112394,112,rf_confident,0,Benign
1757703112787,1757703112895,108,rf_confident,0,Benign
1757703113292,1757703113396,104,rf_confident,0,Benign
1757703113797,1757703113897,100,rf_confident,0,Benign
