ts,proc_cpu_percent,proc_rss_mb,sys_cpu_percent
1757700106582,0.0,14.62,1.1
1757700107583,0.0,14.62,31.2
1757700108584,0.0,14.62,0.3
1757700109584,0.0,14.62,0.6
1757700110585,0.0,14.62,31.5
1757700111586,1.0,14.62,2.4
1757700112586,0.0,14.62,0.1
1757700113587,0.0,14.62,31.4
1757700114588,0.0,14.62,1.3
1757700115589,0.0,14.62,0.2
1757700116589,0.0,14.62,31.6
1757700117590,0.0,14.62,3.6
1757700118591,0.0,14.62,0.2
1757700119592,0.0,14.62,29.9
1757700120593,0.0,14.62,3.8
1757700121593,1.0,14.62,0.9
1757700122594,0.0,14.62,28.9
1757700123595,1.0,14.62,4.1
1757700124595,0.0,14.62,0.3
1757700125596,0.0,14.62,28.6
1757700126597,0.0,14.62,4.3
1757700127597,0.0,14.62,1.1
1757700128598,0.0,14.62,28.0
1757700129599,0.0,14.62,5.4
1757700130599,1.0,14.62,0.0
1757700131601,0.0,14.62,24.2
1757700132602,0.0,14.62,8.9
1757700133603,0.0,14.62,0.0
1757700134604,0.0,14.62,18.7
1757700135606,0.0,14.62,15.1
1757700136606,0.0,14.62,0.0
1757700137607,0.0,14.62,13.7
1757700138608,0.0,14.62,18.5
1757700139609,0.0,14.62,0.7
1757700140609,1.0,14.62,5.0
1757700141610,0.0,14.62,28.7
1757700142611,0.0,14.62,0.1
1757700143612,0.0,14.62,3.1
1757700144612,0.0,14.62,29.6
1757700145613,0.0,14.62,0.2
1757700146614,0.0,14.62,2.1
1757700147615,0.0,14.62,31.2
1757700148615,0.0,14.62,0.0
1757700149616,0.0,14.62,1.6
1757700150617,1.0,14.62,30.9
1757700151618,0.0,14.62,0.5
1757700152618,0.0,14.62,0.9
1757700153619,0.0,14.62,32.0
1757700154620,0.0,14.62,0.5
1757700155620,0.0,14.62,0.3
1757700156621,0.0,14.62,31.5
1757700157622,1.0,14.62,1.4
1757700158622,0.0,14.62,0.3
1757700159623,0.0,14.62,30.9
1757700160624,0.0,14.62,1.7
1757700161625,0.0,14.62,0.1
1757700162625,1.0,14.62,30.2
1757700163626,0.0,14.62,3.0
1757700164627,0.0,14.62,0.2
1757700165628,0.0,14.62,29.5
1757700166628,0.0,14.62,3.0
1757700167629,0.0,14.62,0.1
1757700168630,0.0,14.62,28.9
1757700169630,0.0,14.62,5.7
1757700170631,0.0,14.62,0.2
1757700171632,0.0,14.62,28.2
1757700172633,0.0,14.62,4.4
1757700173633,1.0,14.62,0.2
1757700174635,0.0,14.62,25.0
1757700175636,0.0,14.62,10.4
1757700176637,0.0,14.62,1.2
1757700177640,0.0,14.62,21.3
1757700178641,0.0,14.62,13.3
1757700179642,0.0,14.62,0.4
1757700180643,0.0,14.62,15.4
1757700181643,0.0,14.62,19.2
1757700182644,1.0,14.62,0.1
1757700183645,0.0,14.62,7.0
1757700184645,1.0,14.62,27.1
1757700185646,0.0,14.62,0.1
1757700186647,0.0,14.62,3.2
1757700187648,0.0,14.62,30.6
1757700188648,0.0,14.62,0.1
1757700189649,0.0,14.62,2.4
